| Attribute                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:87:17:87:25                   | Ansi             |
| Color                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:37:17:37:21                   | Ansi             |
| Erase                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:131:17:131:21                 | Ansi             |
| NoAnsi                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:215:26:215:31                 | Ansi             |
| Code                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/AnsiRenderer.java:165:17:165:20         | AnsiRenderer     |
| Termios                                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/internal/CLibrary.java:139:25:139:31    | CLibrary         |
| WinSize                                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/internal/CLibrary.java:111:25:111:31    | CLibrary         |
| CHAR_INFO                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:246:25:246:33    | Kernel32         |
| CONSOLE_SCREEN_BUFFER_INFO                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:128:25:128:50    | Kernel32         |
| COORD                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:103:25:103:29    | Kernel32         |
| FOCUS_EVENT_RECORD                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:384:25:384:42    | Kernel32         |
