| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:417:16:417:53                      | fgRgb1                               |    3 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:417:48:417:52                      | fgRgb1(int, int, int)                                                     | fgRgb0                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:416:17:416:22                      | Ansi                                            | fgRgb1                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:420:17:420:22                    | Ansi                    |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:421:9:421:32                       | add                                  |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:421:30:421:31                      | add(Integer)                                                              | fgRgb1                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:420:17:420:22                      | Ansi                                            | add                                  | file:///89A/java/util/ArrayList.sig:0:0:0:0                                                                                                                    | ArrayList<Integer>      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:422:9:422:31                       | add                                  |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:422:30:422:30                      | add(Integer)                                                              | fgRgb1                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:420:17:420:22                      | Ansi                                            | add                                  | file:///89A/java/util/ArrayList.sig:0:0:0:0                                                                                                                    | ArrayList<Integer>      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:423:9:423:38                       | add                                  |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:423:30:423:37                      | add(Integer)                                                              | fgRgb1                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:420:17:420:22                      | Ansi                                            | add                                  | file:///89A/java/util/ArrayList.sig:0:0:0:0                                                                                                                    | ArrayList<Integer>      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:424:9:424:38                       | add                                  |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:424:30:424:37                      | add(Integer)                                                              | fgRgb1                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:420:17:420:22                      | Ansi                                            | add                                  | file:///89A/java/util/ArrayList.sig:0:0:0:0                                                                                                                    | ArrayList<Integer>      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:425:9:425:38                       | add                                  |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:425:30:425:37                      | add(Integer)                                                              | fgRgb1                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:420:17:420:22                      | Ansi                                            | add                                  | file:///89A/java/util/ArrayList.sig:0:0:0:0                                                                                                                    | ArrayList<Integer>      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:430:16:430:36                      | fg0                                  |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:430:25:430:35                      | fg0(Color)                                                                | fgBlack                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:429:17:429:23                      | Ansi                                            | fg0                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:404:17:404:19                    | Ansi                    |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:434:16:434:35                      | fg0                                  |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:434:25:434:34                      | fg0(Color)                                                                | fgBlue                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:433:17:433:22                      | Ansi                                            | fg0                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:404:17:404:19                    | Ansi                    |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:438:16:438:35                      | fg0                                  |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:438:25:438:34                      | fg0(Color)                                                                | fgCyan                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:437:17:437:22                      | Ansi                                            | fg0                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:404:17:404:19                    | Ansi                    |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:442:16:442:38                      | fg0                                  |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:442:25:442:37                      | fg0(Color)                                                                | fgDefault                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:441:17:441:25                      | Ansi                                            | fg0                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:404:17:404:19                    | Ansi                    |
