| new StringBuilder(...)                               | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1073:38:1073:56                              |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1096:18:1096:28                              |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1539:12:1539:20                              |    0 |      |
| new PooledObjectState(...)                           | PooledObjectState()                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PooledObjectState.java:27:5:27:8                            |    0 |      |
| new PooledObjectState(...)                           | PooledObjectState()                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PooledObjectState.java:30:5:30:13                           |    0 |      |
| new PooledObjectState(...)                           | PooledObjectState()                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PooledObjectState.java:33:5:33:12                           |    0 |      |
| new PooledObjectState(...)                           | PooledObjectState()                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PooledObjectState.java:42:5:42:27                           |    0 |      |
| new PooledObjectState(...)                           | PooledObjectState()                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PooledObjectState.java:45:5:45:14                           |    0 |      |
| new PooledObjectState(...)                           | PooledObjectState()                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PooledObjectState.java:52:5:52:27                           |    0 |      |
| new PooledObjectState(...)                           | PooledObjectState()                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PooledObjectState.java:59:5:59:29                           |    0 |      |
| new PooledObjectState(...)                           | PooledObjectState()                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PooledObjectState.java:62:5:62:11                           |    0 |      |
| new PooledObjectState(...)                           | PooledObjectState()                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PooledObjectState.java:65:5:65:13                           |    0 |      |
| new PooledObjectState(...)                           | PooledObjectState()                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PooledObjectState.java:68:5:68:13                           |    0 |      |
| super(...)                                           | Enum(String, int)                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PooledObjectState.java:24:13:24:29                          |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/AbandonedConfig.java:86:12:86:26                       |    0 |      |
| new StringBuilder(...)                               | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/AbandonedConfig.java:325:39:325:57                     |    0 |      |
| new Object(...)                                      | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:296:30:296:41               |    0 |      |
| new Object(...)                                      | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:299:33:299:44               |    0 |      |
| new AtomicLong(...)                                  | AtomicLong()                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:309:46:309:61               |    0 |      |
| new AtomicLong(...)                                  | AtomicLong()                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:311:46:311:61               |    0 |      |
| new AtomicLong(...)                                  | AtomicLong()                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:312:37:312:52               |    0 |      |
| new AtomicLong(...)                                  | AtomicLong()                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:313:39:313:54               |    0 |      |
