| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/main/java/org/joda/money/format/MoneyFormatterBuilder.java:42:12:42:32       |    0 |      |
| super(...)                                          | Enum(String, int)                            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/main/java/org/joda/money/format/MoneyFormatterBuilder.java:370:17:370:26     |    0 |      |
| new SingletonPrinters(...)                          | SingletonPrinters()                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/main/java/org/joda/money/format/MoneyFormatterBuilder.java:382:9:382:24      |    0 |      |
| super(...)                                          | Enum(String, int)                            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/main/java/org/joda/money/format/MoneyFormatterBuilder.java:381:25:381:41     |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/main/java/org/joda/money/format/MoneyParseContext.java:58:5:58:21            |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/main/java/org/joda/money/format/MoneyParseContext.java:74:5:74:21            |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/main/java/org/joda/money/format/MoneyPrintContext.java:36:5:36:21            |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/main/java/org/joda/money/format/MultiPrinterParser.java:45:5:45:22           |    0 |      |
| new StringBuilder(...)                              | StringBuilder()                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/main/java/org/joda/money/format/MultiPrinterParser.java:84:30:84:48          |    0 |      |
| new StringBuilder(...)                              | StringBuilder()                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/main/java/org/joda/money/format/MultiPrinterParser.java:90:30:90:48          |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/main/java/org/joda/money/format/SignedPrinterParser.java:50:5:50:23          |    0 |      |
| new (...)                                           | ()                                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:93:13:98:13                       |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:93:17:93:32                       |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:45:14:45:25                       |    0 |      |
| new BadDecimal(...)                                 | BadDecimal()                                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:141:26:141:41                     |    0 |      |
| new BadDecimal(...)                                 | BadDecimal()                                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:171:26:171:41                     |    0 |      |
| new BadInteger(...)                                 | BadInteger()                                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:163:24:163:39                     |    0 |      |
| new ByteArrayOutputStream(...)                      | ByteArrayOutputStream()                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:839:38:839:64                     |    0 |      |
| new ByteArrayOutputStream(...)                      | ByteArrayOutputStream()                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:854:38:854:64                     |    0 |      |
| new ByteArrayOutputStream(...)                      | ByteArrayOutputStream()                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:868:38:868:64                     |    0 |      |
| new (...)                                           | ()                                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1220:25:1225:25                   |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1220:29:1220:44                   |    0 |      |
| new (...)                                           | ()                                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1258:25:1263:25                   |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1258:29:1258:44                   |    0 |      |
| new (...)                                           | ()                                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1314:17:1319:17                   |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1314:21:1314:36                   |    0 |      |
| new (...)                                           | ()                                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1568:25:1573:25                   |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1568:29:1568:44                   |    0 |      |
| new (...)                                           | ()                                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1606:25:1611:25                   |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1606:29:1606:44                   |    0 |      |
| new (...)                                           | ()                                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1662:17:1667:17                   |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1662:21:1662:36                   |    0 |      |
| new Object(...)                                     | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestBigMoney.java:2510:38:2510:49                   |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestCurrencyMismatchException.java:23:14:23:42      |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestCurrencyUnit.java:38:14:38:29                   |    0 |      |
| new ArrayList<String>(...)                          | ArrayList<String>()                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestCurrencyUnit.java:128:55:128:77                 |    0 |      |
| new ByteArrayOutputStream(...)                      | ByteArrayOutputStream()                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestCurrencyUnit.java:418:38:418:64                 |    0 |      |
| new ByteArrayOutputStream(...)                      | ByteArrayOutputStream()                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestCurrencyUnit.java:432:38:432:64                 |    0 |      |
| new ByteArrayOutputStream(...)                      | ByteArrayOutputStream()                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestCurrencyUnit.java:451:38:451:64                 |    0 |      |
| new Object(...)                                     | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestCurrencyUnit.java:703:30:703:41                 |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestCurrencyUnitExtension.java:26:14:26:38          |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestIllegalCurrencyException.java:23:14:23:41       |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestMoney.java:44:14:44:22                          |    0 |      |
| new ByteArrayOutputStream(...)                      | ByteArrayOutputStream()                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/TestMoney.java:722:38:722:64                        |    0 |      |
