| CurrencyUnitDataProvider | true | Object           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/CurrencyUnitDataProvider.java:19:23:19:46       |
| Singletons               | true | Enum<Singletons> | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/format/MoneyFormatterBuilder.java:294:25:294:34 |
| Singletons               | true | MoneyParser      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/format/MoneyFormatterBuilder.java:294:25:294:34 |
| Singletons               | true | MoneyPrinter     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/format/MoneyFormatterBuilder.java:294:25:294:34 |
| BigMoney                          | false | Serializable                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           |
| BigMoney                          | false | Object                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           |
| BigMoney                          | false | Comparable<BigMoneyProvider> | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           |
| BigMoney                          | false | BigMoneyProvider             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           |
| CurrencyMismatchException         | false | IllegalArgumentException     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:26:14:26:38          |
| CurrencyUnit                      | false | Serializable                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       |
| CurrencyUnit                      | false | Object                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       |
| CurrencyUnit                      | false | Comparable<CurrencyUnit>     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       |
| DefaultCurrencyUnitDataProvider   | false | CurrencyUnitDataProvider     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:42:7:42:37     |
| IllegalCurrencyException          | false | IllegalArgumentException     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/IllegalCurrencyException.java:26:14:26:37           |
| Money                             | false | Serializable                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/Money.java:45:20:45:24                              |
| Money                             | false | Object                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/Money.java:45:20:45:24                              |
| Money                             | false | Comparable<BigMoneyProvider> | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/Money.java:45:20:45:24                              |
| Money                             | false | BigMoneyProvider             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/Money.java:45:20:45:24                              |
| MoneyUtils                        | false | Object                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/MoneyUtils.java:23:20:23:29                         |
| Ser                               | false | Externalizable               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/Ser.java:33:13:33:15                                |
