| Money                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:45:20:45:24                              | of                                                                            | of(CurrencyUnit, BigDecimal)                                                                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:64:25:64:26                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:64:70:75:5                               |
| Money                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:45:20:45:24                              | with                                                                          | with(BigMoney)                                                                                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:363:19:363:22                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:363:46:368:5                             |
| Money                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:45:20:45:24                              | writeReplace                                                                  | writeReplace()                                                                                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:351:20:351:31                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:351:35:353:5                             |
| Money                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:45:20:45:24                              | readObject                                                                    | readObject(ObjectInputStream)                                                                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:342:18:342:27                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:342:82:344:5                             |
| Money                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:45:20:45:24                              | Money                                                                         | Money()                                                                                           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:321:13:321:17                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:321:21:323:5                             |
| Money                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:45:20:45:24                              | <clinit>                                                                      | <clinit>()                                                                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:45:20:45:24                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/Money.java:45:20:45:24                              |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | toString                                                                      | toString()                                                                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:651:19:651:26                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:651:30:653:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | hashCode                                                                      | hashCode()                                                                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:640:16:640:23                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:640:27:642:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | equals                                                                        | equals(Object)                                                                                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:624:20:624:25                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:624:39:632:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | compareTo                                                                     | compareTo(CurrencyUnit)                                                                           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:611:16:611:24                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:611:46:613:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | toCurrency                                                                    | toCurrency()                                                                                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:600:21:600:30                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:600:34:602:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | getSymbol                                                                     | getSymbol(Locale)                                                                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:583:19:583:27                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:583:44:590:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | getSymbol                                                                     | getSymbol()                                                                                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:565:19:565:27                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:565:31:571:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | isPseudoCurrency                                                              | isPseudoCurrency()                                                                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:552:20:552:35                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:552:39:554:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | getDecimalPlaces                                                              | getDecimalPlaces()                                                                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:543:16:543:31                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:543:35:545:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | getCountryCodes                                                               | getCountryCodes()                                                                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:525:24:525:38                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:525:42:533:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | getNumeric3Code                                                               | getNumeric3Code()                                                                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:503:19:503:33                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:503:37:515:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | getNumericCode                                                                | getNumericCode()                                                                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:491:16:491:29                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:491:33:493:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | getCode                                                                       | getCode()                                                                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:480:19:480:25                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:480:29:482:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | CurrencyUnit                                                                  | CurrencyUnit(String, short, short)                                                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:447:5:447:16                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:447:71:452:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | ofCountry                                                                     | ofCountry(String)                                                                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:430:32:430:40                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:430:62:438:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | of                                                                            | of(Locale)                                                                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:412:32:412:33                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:412:50:419:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | ofNumericCode                                                                 | ofNumericCode(int)                                                                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:395:32:395:44                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:395:71:401:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | ofNumericCode                                                                 | ofNumericCode(String)                                                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:364:32:364:44                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:364:74:384:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | of                                                                            | of(String)                                                                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:345:32:345:33                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:345:56:352:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | of                                                                            | of(Currency)                                                                                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:329:32:329:33                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:329:54:332:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | registeredCountries                                                           | registeredCountries()                                                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:316:32:316:50                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:316:54:318:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | registeredCurrencies                                                          | registeredCurrencies()                                                                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:304:38:304:57                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:304:61:306:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | registerCountry                                                               | registerCountry(String, CurrencyUnit)                                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:291:37:291:51                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:291:96:293:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | registerCurrency                                                              | registerCurrency(String, int, int, boolean)                                                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:267:45:267:60                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:268:93:273:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | registerCurrency                                                              | registerCurrency(String, int, int, List<String>, boolean)                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:187:45:187:60                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:192:28:238:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | registerCurrency                                                              | registerCurrency(String, int, int, List<String>)                                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:149:45:149:60                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:153:40:157:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | writeReplace                                                                  | writeReplace()                                                                                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:469:20:469:31                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:469:35:471:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | readObject                                                                    | readObject(ObjectInputStream)                                                                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:460:18:460:27                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:460:82:462:5                      |
| CurrencyUnit                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | <clinit>                                                                      | <clinit>()                                                                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnit.java:50:20:50:31                       |
| CurrencyMismatchException         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:26:14:26:38          | getSecondCurrency                                                             | getSecondCurrency()                                                                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:67:25:67:41          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:67:45:69:5           |
| CurrencyMismatchException         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:26:14:26:38          | getFirstCurrency                                                              | getFirstCurrency()                                                                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:58:25:58:40          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:58:44:60:5           |
| CurrencyMismatchException         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:26:14:26:38          | CurrencyMismatchException                                                     | CurrencyMismatchException(CurrencyUnit, CurrencyUnit)                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:43:12:43:36          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:43:95:51:5           |
| CurrencyMismatchException         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:26:14:26:38          | <clinit>                                                                      | <clinit>()                                                                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:26:14:26:38          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:26:14:26:38          |
| CurrencyUnitDataProvider          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnitDataProvider.java:19:23:19:46           | registerCountry                                                               | registerCountry(String, String)                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnitDataProvider.java:53:26:53:40           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnitDataProvider.java:53:83:55:5            |
| CurrencyUnitDataProvider          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnitDataProvider.java:19:23:19:46           | registerCurrency                                                              | registerCurrency(String, int, int)                                                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnitDataProvider.java:39:26:39:41           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnitDataProvider.java:40:78:42:5            |
| CurrencyUnitDataProvider          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnitDataProvider.java:19:23:19:46           | CurrencyUnitDataProvider                                                      | CurrencyUnitDataProvider()                                                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnitDataProvider.java:19:23:19:46           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/CurrencyUnitDataProvider.java:19:23:19:46           |
| DefaultCurrencyUnitDataProvider   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:42:7:42:37     | registerCurrencies                                                            | registerCurrencies()                                                                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:58:20:58:37    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:58:58:63:5     |
| DefaultCurrencyUnitDataProvider   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:42:7:42:37     | DefaultCurrencyUnitDataProvider                                               | DefaultCurrencyUnitDataProvider()                                                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:42:7:42:37     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:42:7:42:37     |
| DefaultCurrencyUnitDataProvider   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:42:7:42:37     | parseCountries                                                                | parseCountries(List<String>)                                                                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:111:18:111:31  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:111:72:120:5   |
| DefaultCurrencyUnitDataProvider   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:42:7:42:37     | parseCurrencies                                                               | parseCurrencies(List<String>)                                                                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:99:18:99:32    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:99:73:109:5    |
| DefaultCurrencyUnitDataProvider   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:42:7:42:37     | loadFromFiles                                                                 | loadFromFiles(String)                                                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:81:26:81:38    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:81:74:97:5     |
| DefaultCurrencyUnitDataProvider   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:42:7:42:37     | loadFromFile                                                                  | loadFromFile(String)                                                                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:65:26:65:37    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:65:73:79:5     |
| DefaultCurrencyUnitDataProvider   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:42:7:42:37     | <clinit>                                                                      | <clinit>()                                                                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:42:7:42:37     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/DefaultCurrencyUnitDataProvider.java:42:7:42:37     |
| IllegalCurrencyException          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/IllegalCurrencyException.java:26:14:26:37           | IllegalCurrencyException                                                      | IllegalCurrencyException(String)                                                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/IllegalCurrencyException.java:36:12:36:35           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/IllegalCurrencyException.java:36:53:38:5            |
| IllegalCurrencyException          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/IllegalCurrencyException.java:26:14:26:37           | <clinit>                                                                      | <clinit>()                                                                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/IllegalCurrencyException.java:26:14:26:37           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/IllegalCurrencyException.java:26:14:26:37           |
| MoneyUtils                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/MoneyUtils.java:23:20:23:29                         | subtract                                                                      | subtract(BigMoney, BigMoney)                                                                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/MoneyUtils.java:258:28:258:35                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/MoneyUtils.java:258:71:266:5                        |
| MoneyUtils                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/MoneyUtils.java:23:20:23:29                         | add                                                                           | add(BigMoney, BigMoney)                                                                           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/MoneyUtils.java:237:28:237:30                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/MoneyUtils.java:237:66:245:5                        |
| MoneyUtils                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/MoneyUtils.java:23:20:23:29                         | min                                                                           | min(BigMoney, BigMoney)                                                                           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/MoneyUtils.java:216:28:216:30                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/MoneyUtils.java:216:66:224:5                        |
