| SingletonPrinters                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/main/java/org/joda/money/format/MoneyFormatterBuilder.java:381:25:381:41     | MoneyFormatterBuilder     |
| Singletons                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/main/java/org/joda/money/format/MoneyFormatterBuilder.java:294:25:294:34     | MoneyFormatterBuilder     |
| IOAppendable                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatter.java:605:32:605:43        | TestMoneyFormatter        |
| BadDecimal                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/test/java/org/joda/money/TestBigMoney.java:119:15:119:24                     | TestBigMoney              |
| BadDecimal                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/test/java/org/joda/money/TestBigMoney.java:149:15:149:24                     | TestBigMoney              |
| BadInteger                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/test/java/org/joda/money/TestBigMoney.java:142:15:142:24                     | TestBigMoney              |
| new Singletons(...) { ... }       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/main/java/org/joda/money/format/MoneyFormatterBuilder.java:295:9:295:12      | Singletons                |
| new Singletons(...) { ... }       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/main/java/org/joda/money/format/MoneyFormatterBuilder.java:318:9:318:22      | Singletons                |
| new Singletons(...) { ... }       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/main/java/org/joda/money/format/MoneyFormatterBuilder.java:341:9:341:20      | Singletons                |
| new BigMoneyProvider(...) { ... } | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/test/java/org/joda/money/TestBigMoney.java:88:17:88:32                       | TestBigMoney              |
| new BigMoneyProvider(...) { ... } | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1175:29:1175:44                   | TestBigMoney              |
| new BigMoneyProvider(...) { ... } | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1213:29:1213:44                   | TestBigMoney              |
| new BigMoneyProvider(...) { ... } | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1269:21:1269:36                   | TestBigMoney              |
| new BigMoneyProvider(...) { ... } | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1523:29:1523:44                   | TestBigMoney              |
| new BigMoneyProvider(...) { ... } | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1561:29:1561:44                   | TestBigMoney              |
| new BigMoneyProvider(...) { ... } | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/test/java/org/joda/money/TestBigMoney.java:1617:21:1617:36                   | TestBigMoney              |
| new MoneyParser(...) { ... }      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatter.java:67:37:67:47          | TestMoneyFormatter        |
| new MoneyParser(...) { ... }      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatter.java:592:21:592:31        | TestMoneyFormatter        |
| new MoneyParser(...) { ... }      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatterBuilder.java:741:21:741:31 | TestMoneyFormatterBuilder |
| new MoneyPrinter(...) { ... }     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatter.java:81:37:81:48          | TestMoneyFormatter        |
| new MoneyPrinter(...) { ... }     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatter.java:580:21:580:32        | TestMoneyFormatter        |
| new MoneyPrinter(...) { ... }     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatterBuilder.java:719:21:719:32 | TestMoneyFormatterBuilder |
