| Consumer      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:155:22:155:29              | apply            | apply(Ansi)        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:156:14:156:18              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:156:14:156:18              |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | a11                                         | a11(long)                                                                                                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:838:17:838:19                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:838:33:842:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | a10                                         | a10(int)                                                                                                                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:832:17:832:19                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:832:32:836:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | a9                                          | a9(float)                                                                                                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:826:17:826:18                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:826:33:830:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | a8                                          | a8(double)                                                                                                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:820:17:820:18                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:820:34:824:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | a7                                          | a7(CharSequence)                                                                                                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:814:17:814:18                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:814:40:818:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | a6                                          | a6(CharSequence, int, int)                                                                                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:808:17:808:18                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:808:60:812:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | a5                                          | a5(char[])                                                                                                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:802:17:802:18                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:802:34:806:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | a4                                          | a4(char[], int, int)                                                                                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:796:17:796:18                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:796:55:800:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | a3                                          | a3(char)                                                                                                                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:790:17:790:18                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:790:32:794:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | a2                                          | a2(boolean)                                                                                                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:784:17:784:18                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:784:35:788:5                                          |
