| ...->...                              | ()                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:161:49:161:82                                         |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:284:70:284:99                                  |    0 |      |
| new CONSOLE_SCREEN_BUFFER_INFO(...)   | CONSOLE_SCREEN_BUFFER_INFO()                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:287:55:287:86                                  |    0 |      |
| ...->...                              | ()                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:297:29:302:17                                  |    0 |      |
| ...->...                              | ()                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:303:31:309:17                                  |    0 |      |
| new MingwSupport(...)                 | MingwSupport()                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:316:38:316:55                                  |    0 |      |
| ...->...                              | ()                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:319:29:319:62                                  |    0 |      |
| ...->...                              | ()                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:321:29:321:36                                  |    0 |      |
| new (...)                             | ()                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:351:21:358:13                                  |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:351:25:351:54                                  |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiMain.java:55:14:55:21                                       |    0 |      |
| new MingwSupport(...)                 | MingwSupport()                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiMain.java:207:38:207:55                                     |    0 |      |
| new CONSOLE_SCREEN_BUFFER_INFO(...)   | CONSOLE_SCREEN_BUFFER_INFO()                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiMain.java:217:60:217:100                                    |    0 |      |
| new Properties(...)                   | Properties()                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiMain.java:303:28:303:43                                     |    0 |      |
| super(...)                            | Enum(String, int)                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiMode.java:30:5:30:12                                        |    0 |      |
| new StringBuilder(...)                | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiRenderer.java:61:35:61:53                                   |    0 |      |
| super(...)                            | Enum(String, int)                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiRenderer.java:227:9:227:12                                  |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiRenderer.java:257:13:257:24                                 |    0 |      |
| super(...)                            | Enum(String, int)                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiType.java:32:5:32:12                                        |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/WindowsSupport.java:24:14:24:27                                 |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/CLibrary.java:26:14:26:21                              |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/CLibrary.java:127:16:127:22                            |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/CLibrary.java:139:25:139:31                            |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/JansiLoader.java:61:14:61:24                           |    0 |      |
| ...::...                              | ()                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/JansiLoader.java:76:41:76:60                           |    0 |      |
| new (...)                             | ()                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/JansiLoader.java:113:47:119:9                          |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/JansiLoader.java:113:51:113:64                         |    0 |      |
| new Random(...)                       | Random()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/JansiLoader.java:238:33:238:44                         |    0 |      |
| new LinkedList<String>(...)           | LinkedList<String>()                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/JansiLoader.java:288:35:288:58                         |    0 |      |
| new Properties(...)                   | Properties()                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/JansiLoader.java:385:42:385:57                         |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:27:14:27:21                              |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:65:25:65:34                              |    0 |      |
| new SMALL_RECT(...)                   | SMALL_RECT()                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:89:29:89:44                              |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:103:25:103:29                            |    0 |      |
| new COORD(...)                        | COORD()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:118:24:118:34                            |    0 |      |
| new COORD(...)                        | COORD()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:139:29:139:39                            |    0 |      |
| new COORD(...)                        | COORD()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:140:39:140:49                            |    0 |      |
| new SMALL_RECT(...)                   | SMALL_RECT()                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:142:36:142:51                            |    0 |      |
| new COORD(...)                        | COORD()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:143:42:143:52                            |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:128:25:128:50                            |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:246:25:246:33                            |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:274:25:274:40                            |    0 |      |
| new COORD(...)                        | COORD()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:346:38:346:48                            |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:315:25:315:42                            |    0 |      |
| new COORD(...)                        | COORD()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:374:29:374:39                            |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:363:25:363:49                            |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:384:25:384:42                            |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:399:25:399:41                            |    0 |      |
| new KEY_EVENT_RECORD(...)             | KEY_EVENT_RECORD()                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:430:44:430:65                            |    0 |      |
| new MOUSE_EVENT_RECORD(...)           | MOUSE_EVENT_RECORD()                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:431:48:431:71                            |    0 |      |
| new WINDOW_BUFFER_SIZE_RECORD(...)    | WINDOW_BUFFER_SIZE_RECORD()                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:432:66:432:96                            |    0 |      |
| new MENU_EVENT_RECORD(...)            | MENU_EVENT_RECORD()                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:433:46:433:68                            |    0 |      |
| new FOCUS_EVENT_RECORD(...)           | FOCUS_EVENT_RECORD()                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:434:48:434:71                            |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:414:25:414:36                            |    0 |      |
| new INPUT_RECORD(...)                 | INPUT_RECORD()                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:482:30:482:47                            |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/MingwSupport.java:40:12:40:23                          |    0 |      |
| new ByteArrayOutputStream(...)        | ByteArrayOutputStream()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/MingwSupport.java:106:38:106:64                        |    0 |      |
| new HashMap<String,String>(...)       | HashMap<String,String>()                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/OSInfo.java:56:64:56:92                                |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/OSInfo.java:46:14:46:19                                |    0 |      |
| new ByteArrayOutputStream(...)        | ByteArrayOutputStream()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/OSInfo.java:157:35:157:61                              |    0 |      |
| new ArrayList<Object>(...)            | ArrayList<Object>()                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/AnsiOutputStream.java:86:47:86:63                            |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/AnsiOutputStream.java:55:25:55:41                            |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/AnsiProcessor.java:37:12:37:24                               |    0 |      |
| new IllegalArgumentException(...)     | IllegalArgumentException()                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/AnsiProcessor.java:48:51:48:80                               |    0 |      |
| new IllegalArgumentException(...)     | IllegalArgumentException()                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/AnsiProcessor.java:107:35:107:64                             |    0 |      |
| new IllegalArgumentException(...)     | IllegalArgumentException()                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/AnsiProcessor.java:141:47:141:76                             |    0 |      |
| new IllegalArgumentException(...)     | IllegalArgumentException()                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/AnsiProcessor.java:150:47:150:76                             |    0 |      |
| new IllegalArgumentException(...)     | IllegalArgumentException()                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/AnsiProcessor.java:153:43:153:72                             |    0 |      |
| new IllegalArgumentException(...)     | IllegalArgumentException()                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/AnsiProcessor.java:242:44:242:73                             |    0 |      |
| new IllegalArgumentException(...)     | IllegalArgumentException()                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/AnsiProcessor.java:244:34:244:63                             |    0 |      |
| new IllegalArgumentException(...)     | IllegalArgumentException()                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/AnsiProcessor.java:245:60:245:89                             |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/Colors.java:23:14:23:19                                      |    0 |      |
| new IllegalArgumentException(...)     | IllegalArgumentException()                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/ColorsAnsiProcessor.java:44:27:44:56                         |    0 |      |
| new IllegalArgumentException(...)     | IllegalArgumentException()                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/ColorsAnsiProcessor.java:116:35:116:64                       |    0 |      |
| new CONSOLE_SCREEN_BUFFER_INFO(...)   | CONSOLE_SCREEN_BUFFER_INFO()                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/WindowsAnsiProcessor.java:93:53:93:84                        |    0 |      |
| new COORD(...)                        | COORD()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/WindowsAnsiProcessor.java:158:33:158:43                      |    0 |      |
| new COORD(...)                        | COORD()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/WindowsAnsiProcessor.java:166:34:166:44                      |    0 |      |
| new COORD(...)                        | COORD()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/WindowsAnsiProcessor.java:393:21:393:31                      |    0 |      |
| new CHAR_INFO(...)                    | CHAR_INFO()                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/WindowsAnsiProcessor.java:396:26:396:40                      |    0 |      |
| new COORD(...)                        | COORD()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/WindowsAnsiProcessor.java:409:21:409:31                      |    0 |      |
| new CHAR_INFO(...)                    | CHAR_INFO()                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/WindowsAnsiProcessor.java:412:26:412:40                      |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/AnsiConsoleExample.java:26:13:26:30                             |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/AnsiConsoleExample2.java:28:13:28:31                            |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/AnsiRendererTest.java:34:14:34:29                               |    0 |      |
| ...->...                              | ()                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/AnsiRendererTest.java:118:54:118:73                             |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/AnsiStringTest.java:24:14:24:27                                 |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/AnsiTest.java:39:14:39:21                                       |    0 |      |
| ...->...                              | ()                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/AnsiTest.java:43:20:43:54                                       |    0 |      |
| ...->...                              | ()                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/AnsiTest.java:46:20:46:53                                       |    0 |      |
| ...->...                              | ()                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/AnsiTest.java:60:49:60:71                                       |    0 |      |
| new ProcessBuilder(...)               | ProcessBuilder(String[])                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/AnsiTest.java:185:27:185:46                                     |    0 |      |
| new ByteArrayOutputStream(...)        | ByteArrayOutputStream()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/AnsiTest.java:189:38:189:64                                     |    0 |      |
| super(...)                            | Ansi_ESTest_scaffolding()                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/Ansi_ESTest.java:38:14:38:24                                    |    0 |      |
| new ViolatedAssumptionAnswer(...)     | ViolatedAssumptionAnswer()                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/Ansi_ESTest.java:80:80:80:109                                   |    0 |      |
| new ViolatedAssumptionAnswer(...)     | ViolatedAssumptionAnswer()                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/Ansi_ESTest.java:99:80:99:109                                   |    0 |      |
| new ViolatedAssumptionAnswer(...)     | ViolatedAssumptionAnswer()                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/Ansi_ESTest.java:109:66:109:95                                  |    0 |      |
| new StringBuilder(...)                | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/Ansi_ESTest.java:248:40:248:58                                  |    0 |      |
| new ViolatedAssumptionAnswer(...)     | ViolatedAssumptionAnswer()                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/Ansi_ESTest.java:900:80:900:109                                 |    0 |      |
| new ViolatedAssumptionAnswer(...)     | ViolatedAssumptionAnswer()                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/Ansi_ESTest.java:1146:80:1146:109                               |    0 |      |
| new StringBuffer(...)                 | StringBuffer()                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/Ansi_ESTest.java:1163:38:1163:55                                |    0 |      |
| new StringBuilder(...)                | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/Ansi_ESTest.java:1185:40:1185:58                                |    0 |      |
| new StringBuilder(...)                | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/Ansi_ESTest.java:1341:40:1341:58                                |    0 |      |
| new Object(...)                       | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/Ansi_ESTest.java:1483:26:1483:37                                |    0 |      |
| new NonFunctionalRequirementRule(...) | NonFunctionalRequirementRule()                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/Ansi_ESTest_scaffolding.java:32:13:32:72                        |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/Ansi_ESTest_scaffolding.java:28:14:28:36                        |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/EncodingTest.java:30:14:30:25                                   |    0 |      |
| new ByteArrayOutputStream(...)        | ByteArrayOutputStream()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/EncodingTest.java:34:38:34:64                                   |    0 |      |
| new AtomicReference<String>(...)      | AtomicReference<String>()                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/EncodingTest.java:35:50:35:72                                   |    0 |      |
| new ByteArrayOutputStream(...)        | ByteArrayOutputStream()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/EncodingTest.java:63:38:63:64                                   |    0 |      |
| new AtomicReference<String>(...)      | AtomicReference<String>()                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/EncodingTest.java:64:50:64:72                                   |    0 |      |
| super(...)                            | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/InstallUninstallTest.java:20:14:20:33                           |    0 |      |
| super(...)                            | WindowsSupport_ESTest_scaffolding()           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/WindowsSupport_ESTest.java:33:14:33:34                          |    0 |      |
