| Attribute                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:87:17:87:25                           | Ansi                |
| new Runnable(...) { ... }                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/internal/JansiLoader_ESTest.java:291:48:291:55  | JansiLoader_ESTest  |
| new Runnable(...) { ... }                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/internal/JansiLoader_ESTest.java:307:48:307:55  | JansiLoader_ESTest  |
| new Runnable(...) { ... }                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/internal/JansiLoader_ESTest.java:326:48:326:55  | JansiLoader_ESTest  |
| new Runnable(...) { ... }                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/internal/JansiLoader_ESTest.java:351:48:351:55  | JansiLoader_ESTest  |
| new Runnable(...) { ... }                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/internal/MingwSupport_ESTest.java:42:48:42:55   | MingwSupport_ESTest |
| new Runnable(...) { ... }                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/internal/MingwSupport_ESTest.java:84:48:84:55   | MingwSupport_ESTest |
| new Runnable(...) { ... }                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/internal/MingwSupport_ESTest.java:113:48:113:55 | MingwSupport_ESTest |
| new FilenameFilter(...) { ... }                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/internal/JansiLoader.java:113:51:113:64         | JansiLoader         |
| new Executable(...) { ... }                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/AnsiRendererTest.java:118:54:118:73             | AnsiRendererTest    |
| new Consumer(...) { ... }                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/AnsiTest.java:60:49:60:71                       | AnsiTest            |
| new AnsiProcessor(...) { ... }                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/EncodingTest.java:41:29:41:41                   | EncodingTest        |
| new AnsiProcessor(...) { ... }                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/test/java/org/fusesource/jansi/EncodingTest.java:70:29:70:41                   | EncodingTest        |
| new AnsiOutputStream.WidthSupplier(...) { ... }  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:284:70:284:99                  | AnsiConsole         |
| new AnsiOutputStream.WidthSupplier(...) { ... }  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:351:25:351:54                  | AnsiConsole         |
| Consumer      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:155:22:155:29              | Ansi             |
| IoRunnable    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/AnsiOutputStream.java:46:22:46:31 | AnsiOutputStream |
| WidthSupplier | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/io/AnsiOutputStream.java:51:22:51:34 | AnsiOutputStream |
