TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
me.lemire.integercompression.S9,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8905824114157448,749,725
me.lemire.integercompression.DeltaZigzagVariableByte,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7445717134283233,622,556
me.lemire.integercompression.JustCopy,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666666,107,97
me.lemire.integercompression.BinaryPacking,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7396293715010993,894,403
me.lemire.integercompression.FastPFOR128,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7858689093602886,874,795
me.lemire.integercompression.Kamikaze,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8261146644419726,206,176
me.lemire.integercompression.FastPFOR,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6329983901428002,861,596
me.lemire.integercompression.NewPFDS16,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.821087002216617,1172,1084
me.lemire.integercompression.SkippableComposition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8601543491484185,198,186
me.lemire.integercompression.Composition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.862008281573499,179,170
me.lemire.integercompression.OptPFDS16,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8330987917555082,684,643
me.lemire.integercompression.NewPFD,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7031266292416647,643,464
me.lemire.integercompression.DeltaZigzagEncoding,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7661967418546366,359,358
me.lemire.integercompression.benchmarktools.BenchmarkOffsettedSeries,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8392187708571133,1149,955
me.lemire.integercompression.benchmarktools.Benchmark,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.525024884185266,1050,406
me.lemire.integercompression.benchmarktools.PerformanceLogger,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,169,169
me.lemire.integercompression.benchmarktools.BenchmarkBitPacking,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5731476348854397,388,190
me.lemire.integercompression.benchmarktools.BenchmarkSkippable,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4506558297900004,877,185
me.lemire.integercompression.NewPFDS9,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6913066111701746,1178,718
me.lemire.integercompression.Simple9,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8536436541143654,1162,1129
me.lemire.integercompression.OptPFD,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7635840754212132,685,555
me.lemire.integercompression.Simple16,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8593284253263439,1038,950
me.lemire.integercompression.BitPacking,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.593520911958176,6907,2030
me.lemire.integercompression.UncompressibleInputException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
me.lemire.integercompression.S16,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8708910654562829,1152,1065
me.lemire.integercompression.synth.UniformDataGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9000261233019854,481,458
me.lemire.integercompression.synth.ClusteredDataGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8015793887746494,542,506
me.lemire.integercompression.VariableByte,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8046812257442179,953,884
me.lemire.integercompression.IntCompressor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.864245951417004,104,91
me.lemire.integercompression.DeltaZigzagBinaryPacking,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7679440145409834,603,430
me.lemire.integercompression.Util,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9117873432155075,1155,1108
me.lemire.integercompression.IntWrapper,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.946875,143,126
me.lemire.integercompression.OptPFDS9,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8330987917555082,690,646
me.lemire.integercompression.differential.IntegratedIntCompressor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8806818181818181,108,99
me.lemire.integercompression.differential.Delta,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9371508379888268,842,830
me.lemire.integercompression.differential.IntegratedBinaryPacking,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8198259879831891,864,751
me.lemire.integercompression.differential.SkippableIntegratedComposition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8659564393939394,248,239
