| MooringPosition                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/BerthingData.java:188:17:188:31                             | BerthingData                           |
| ServiceStatus                                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/BerthingData.java:212:17:212:29                             | BerthingData                           |
| BallastStatus                                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/ExtendedShipStaticAndVoyageRelatedData.java:275:17:275:29   | ExtendedShipStaticAndVoyageRelatedData |
| BunkerOilStatus                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/ExtendedShipStaticAndVoyageRelatedData.java:295:17:295:31   | ExtendedShipStaticAndVoyageRelatedData |
| IceClass                                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/ExtendedShipStaticAndVoyageRelatedData.java:243:17:243:24   | ExtendedShipStaticAndVoyageRelatedData |
| SolasEquipmentStatus                                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/ExtendedShipStaticAndVoyageRelatedData.java:223:17:223:36   | ExtendedShipStaticAndVoyageRelatedData |
| new Consumer<NMEAMessage>(...) { ... }                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/AISInputStreamReader.java:40:91:40:121                                       | AISInputStreamReader                   |
| new Function<String,Integer>(...) { ... }                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/Decoders.java:96:73:96:97                                                | Decoders                               |
| new Function<String,Integer>(...) { ... }                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/Decoders.java:118:78:118:128                                             | Decoders                               |
| new Function<String,Float>(...) { ... }                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/Decoders.java:114:65:114:124                                             | Decoders                               |
| new Function<String,Float>(...) { ... }                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/Decoders.java:122:74:122:142                                             | Decoders                               |
| new Function<String,Boolean>(...) { ... }                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/Decoders.java:116:69:116:118                                             | Decoders                               |
| new Function<String,Long>(...) { ... }                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/Decoders.java:120:72:120:120                                             | Decoders                               |
| new Function<String,String>(...) { ... }                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/Decoders.java:125:65:137:5                                               | Decoders                               |
| new Function<String,String>(...) { ... }                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/Decoders.java:139:67:154:5                                               | Decoders                               |
| new Function<String,String>(...) { ... }                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/Decoders.java:156:64:156:85                                              | Decoders                               |
| new Supplier<Integer>(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:171:32:171:52                                   | AISMessage                             |
| new Supplier<Integer>(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:171:109:171:159                                 | AISMessage                             |
| new Supplier<Integer>(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AddressedBinaryMessage.java:82:32:82:51                         | AddressedBinaryMessage                 |
