| DynamicDataReport         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:22:18:22:34         | getCourseOverGround            | getCourseOverGround()                                                                                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:29:8:29:26          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:29:8:29:26          |
| DynamicDataReport         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:22:18:22:34         | getRawSpeedOverGround          | getRawSpeedOverGround()                                                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:28:10:28:30         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:28:10:28:30         |
| DynamicDataReport         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:22:18:22:34         | getSpeedOverGround             | getSpeedOverGround()                                                                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:27:8:27:25          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:27:8:27:25          |
| DynamicDataReport         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:22:18:22:34         | getRawLongitude                | getRawLongitude()                                                                                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:26:10:26:24         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:26:10:26:24         |
| DynamicDataReport         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:22:18:22:34         | getLongitude                   | getLongitude()                                                                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:25:8:25:19          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:25:8:25:19          |
| DynamicDataReport         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:22:18:22:34         | getRawLatitude                 | getRawLatitude()                                                                                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:24:10:24:23         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:24:10:24:23         |
| DynamicDataReport         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:22:18:22:34         | getLatitude                    | getLatitude()                                                                                                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:23:8:23:18          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/DynamicDataReport.java:23:8:23:18          |
| ExtendedDynamicDataReport | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/ExtendedDynamicDataReport.java:22:18:22:42 | getSecond                      | getSecond()                                                                                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/ExtendedDynamicDataReport.java:24:10:24:18 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/ExtendedDynamicDataReport.java:24:10:24:18 |
| ExtendedDynamicDataReport | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/ExtendedDynamicDataReport.java:22:18:22:42 | getTrueHeading                 | getTrueHeading()                                                                                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/ExtendedDynamicDataReport.java:23:10:23:23 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/ExtendedDynamicDataReport.java:23:10:23:23 |
| AISInputStreamReader                                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/AISInputStreamReader.java:36:14:36:33                                         | run                                                       | run()                                                                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/AISInputStreamReader.java:51:17:51:19                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/AISInputStreamReader.java:51:42:53:2                                          |
| AISInputStreamReader                                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/AISInputStreamReader.java:36:14:36:33                                         | isStopRequested                                           | isStopRequested()                                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/AISInputStreamReader.java:47:26:47:40                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/AISInputStreamReader.java:47:44:49:5                                          |
| AISInputStreamReader                                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/AISInputStreamReader.java:36:14:36:33                                         | requestStop                                               | requestStop()                                                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/AISInputStreamReader.java:43:20:43:30                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/AISInputStreamReader.java:43:34:45:2                                          |
| AISInputStreamReader                                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/AISInputStreamReader.java:36:14:36:33                                         | AISInputStreamReader                                      | AISInputStreamReader(InputStream, Consumer<? super AISMessage>)                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/AISInputStreamReader.java:38:9:38:28                                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/AISInputStreamReader.java:38:104:41:2                                         |
| AISMessage                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:46:23:46:32                                      | hashCode                                                  | hashCode()                                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:452:16:452:23                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:452:27:456:5                                     |
| AISMessage                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:46:23:46:32                                      | equals                                                    | equals(Object)                                                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:439:20:439:25                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:439:37:449:5                                     |
| AISMessage                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:46:23:46:32                                      | create1                                                   | create1(NMEAMessage[])                                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:256:30:256:36                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:256:67:357:5                                     |
