| AISMessage                                                         | check                                       | nmeaMessages             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:111:25:111:29                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:111:59:113:5                                   |
| UnsupportedMessageType                                             | UnsupportedMessageType                      | messageType              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/exceptions/UnsupportedMessageType.java:22:9:22:30                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/exceptions/UnsupportedMessageType.java:22:53:23:2                       |
| NMEAMessage                                                        | equals                                      | o                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/nmea/messages/NMEAMessage.java:149:20:149:25                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/nmea/messages/NMEAMessage.java:149:37:158:5                                 |
| NMEAMessage                                                        | fromString                                  | nmeaString               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/nmea/messages/NMEAMessage.java:43:28:43:37                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/nmea/messages/NMEAMessage.java:43:58:45:2                                   |
| NMEAMessage                                                        | isBlank                                     | s                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/nmea/messages/NMEAMessage.java:165:28:165:34                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/nmea/messages/NMEAMessage.java:165:46:167:2                                 |
| NMEAMessage                                                        | NMEAMessage                                 | rawMessage               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/nmea/messages/NMEAMessage.java:115:10:115:20                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/nmea/messages/NMEAMessage.java:115:41:118:2                                 |
| Metadata                                                           | equals                                      | o                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/Metadata.java:51:20:51:25                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/Metadata.java:51:37:59:5                                       |
| Metadata                                                           | Metadata                                    | source                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/Metadata.java:14:12:14:19                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/Metadata.java:14:54:21:5                                       |
| Metadata                                                           | Metadata                                    | received                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/Metadata.java:14:12:14:19                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/Metadata.java:14:54:21:5                                       |
| MMSI                                                               | equals                                      | o                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/MMSI.java:42:20:42:25                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/MMSI.java:42:37:51:5                                     |
| MMSI                                                               | valueOf                                     | mmsi                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/MMSI.java:28:21:28:27                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/MMSI.java:28:39:30:2                                     |
| MMSI                                                               | MMSI                                        | mmsi                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/MMSI.java:24:9:24:12                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/MMSI.java:24:24:26:2                                     |
| AISMessageType                                                     | fromInteger                                 | integer                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/AISMessageType.java:65:31:65:41                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/AISMessageType.java:65:60:74:2                           |
| AISMessageType                                                     | AISMessageType                              | code                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/AISMessageType.java:53:2:53:15                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/AISMessageType.java:53:31:55:2                           |
| AISMessageTest                                                     | isSerializable1                             | object                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/test/java/dk/tbsalling/aismessages/ais/messages/AISMessageTest.java:102:21:102:35                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/test/java/dk/tbsalling/aismessages/ais/messages/AISMessageTest.java:102:52:119:5                               |
| NMEAParseException                                                 | NMEAParseException                          | rawMessage               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/nmea/exceptions/NMEAParseException.java:22:9:22:26                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/nmea/exceptions/NMEAParseException.java:22:72:25:2                          |
| NMEAParseException                                                 | NMEAParseException                          | errorDescription         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/nmea/exceptions/NMEAParseException.java:22:9:22:26                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/nmea/exceptions/NMEAParseException.java:22:72:25:2                          |
| InvalidMessage                                                     | InvalidMessage                              | message                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/nmea/exceptions/InvalidMessage.java:22:9:22:22                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/nmea/exceptions/InvalidMessage.java:22:40:24:2                              |
