| new HashMap<String,String>(...)             | HashMap<String,String>()             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/ParameterParser.java:254:20:254:48                        |    0 |      |
| super(...)                                  | Object()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:124:12:124:23                      |    0 |      |
| new ParameterParser(...)                    | ParameterParser()                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:163:34:163:54                      |    0 |      |
| super(...)                                  | Object()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItemFactory.java:97:12:97:30                 |    0 |      |
| super(...)                                  | FileUpload()                         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/portlet/PortletFileUpload.java:52:9:52:16                 |    0 |      |
| super(...)                                  | Object()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/servlet/ServletRequestContext.java:24:14:24:34            |    0 |      |
| new LinkedHashMap<String,List<String>>(...) | LinkedHashMap<String,List<String>>() | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/FileItemHeadersImpl.java:42:13:42:53                 |    0 |      |
| super(...)                                  | Object()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/FileItemHeadersImpl.java:35:14:35:32                 |    0 |      |
| new ArrayList<String>(...)                  | ArrayList<String>()                  | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/FileItemHeadersImpl.java:82:31:82:53                 |    0 |      |
| super(...)                                  | Object()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Streams.java:28:13:28:19                             |    0 |      |
| new StringBuilder(...)                      | StringBuilder()                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Streams.java:101:38:101:56                           |    0 |      |
| super(...)                                  | Object()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/mime/Base64Decoder.java:127:13:127:25                |    0 |      |
| new HashMap<String,String>(...)             | HashMap<String,String>()             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/mime/MimeUtility.java:52:58:52:86                    |    0 |      |
| super(...)                                  | Object()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/mime/MimeUtility.java:68:13:68:23                    |    0 |      |
| super(...)                                  | Object()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/mime/QuotedPrintableDecoder.java:34:13:34:34         |    0 |      |
| super(...)                                  | Object()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/Constants.java:29:13:29:21                                |    0 |      |
| super(...)                                  | Object()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/DefaultFileItemTest.java:21:14:21:32                      |    0 |      |
| new StringBuilder(...)                      | StringBuilder()                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/DefaultFileItemTest.java:105:32:105:50                    |    0 |      |
| super(...)                                  | Object()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/DiskFileItemSerializeTest.java:29:14:29:38                |    0 |      |
| new ByteArrayOutputStream(...)              | ByteArrayOutputStream()              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/DiskFileItemSerializeTest.java:90:38:90:64                |    0 |      |
| super(...)                                  | Object()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/FileItemHeadersTest.java:30:14:30:32                      |    0 |      |
| new FileItemHeadersImpl(...)                | FileItemHeadersImpl()                | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/FileItemHeadersTest.java:37:55:37:79                      |    0 |      |
| new HashMap<String,String>(...)             | HashMap<String,String>()             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:38:51:38:89                   |    0 |      |
| super(...)                                  | Object()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:46:12:46:33                   |    0 |      |
| super(...)                                  | Object()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:444:16:444:35                 |    0 |      |
| super(...)                                  | Object()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MultipartStreamTest.java:27:14:27:32                      |    0 |      |
| super(...)                                  | Object()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/ParameterParserTest.java:27:14:27:32                      |    0 |      |
