| new HashMap<String,Class<?>>(...)                            | HashMap<String,Class<?>>()                            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/TypeUtils.java:45:37:45:67                                          |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/TypeUtils.java:57:13:57:21                                          |    0 |      |
| new ArrayList<Type>(...)                                     | ArrayList<Type>()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/TypeUtils.java:89:28:89:48                                          |    0 |      |
| new ArrayList<String>(...)                                   | ArrayList<String>()                                   | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/TypeUtils.java:117:31:117:53                                        |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/TypedAdapter.java:37:13:37:24                                       |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:103:34:109:9                                             |    0 |      |
| super(...)                                                   | ClassOwnership()                                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:103:9:103:32                                             |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:110:34:120:9                                             |    0 |      |
| super(...)                                                   | ClassOwnership()                                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:110:9:110:32                                             |    0 |      |
| super(...)                                                   | Enum(String, int)                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:102:18:102:31                                            |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:128:45:128:71                                            |    0 |      |
| super(...)                                                   | LocalClass()                                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:128:49:128:66                                            |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:127:19:127:28                                            |    0 |      |
