| new Vector<Argument>(...)                                    | Vector<Argument>()                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:170:48:170:61                                                |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/OS.java:320:13:320:14                                                         |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/PumpStreamHandler.java:108:13:108:29                                          |    0 |      |
| new Vector<Process>(...)                                     | Vector<Process>()                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/ShutdownHookProcessDestroyer.java:48:47:48:60                                 |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/ShutdownHookProcessDestroyer.java:67:12:67:39                                 |    0 |      |
| new ProcessDestroyerThread(...)                              | ProcessDestroyerThread()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/ShutdownHookProcessDestroyer.java:93:36:93:63                                 |    0 |      |
| ...->...                                                     | ()                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/ShutdownHookProcessDestroyer.java:168:31:174:13                               |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/StreamPumper.java:81:12:81:23                                                 |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/ThreadUtil.java:25:13:25:22                                                   |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/Watchdog.java:37:31:37:37                                                     |    0 |      |
| new Builder(...)                                             | Builder()                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/Watchdog.java:83:16:83:28                                                     |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/Watchdog.java:114:13:114:20                                                   |    0 |      |
| ...->...                                                     | ()                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/Watchdog.java:135:27:135:53                                                   |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/environment/DefaultProcessingEnvironment.java:33:14:33:41                     |    0 |      |
| ...::...                                                     | ()                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/environment/DefaultProcessingEnvironment.java:45:34:45:60                     |    0 |      |
| new HashMap<String,String>(...)                              | HashMap<String,String>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/environment/DefaultProcessingEnvironment.java:47:16:47:30                     |    0 |      |
| new DefaultProcessingEnvironment(...)                        | DefaultProcessingEnvironment()                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/environment/EnvironmentUtils.java:32:23:32:56                                 |    0 |      |
| ...::...                                                     | ()                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/environment/EnvironmentUtils.java:88:118:88:130                               |    0 |      |
| ...->...                                                     | ()                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/environment/EnvironmentUtils.java:88:52:88:107                                |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/environment/EnvironmentUtils.java:94:13:94:28                                 |    0 |      |
| super(...)                                                   | DefaultProcessingEnvironment()                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/environment/OpenVmsProcessingEnvironment.java:33:14:33:41                     |    0 |      |
| new VmsCommandLauncher(...)                                  | VmsCommandLauncher()                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/CommandLauncherFactory.java:34:39:34:62                              |    0 |      |
| new Java13CommandLauncher(...)                               | Java13CommandLauncher()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/CommandLauncherFactory.java:34:66:34:92                              |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/CommandLauncherFactory.java:37:13:37:34                              |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/CommandLauncherImpl.java:31:23:31:41                                 |    0 |      |
| super(...)                                                   | CommandLauncherImpl()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/CommandLauncherProxy.java:38:12:38:31                                |    0 |      |
| super(...)                                                   | CommandLauncherImpl()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/Java13CommandLauncher.java:35:12:35:32                               |    0 |      |
| super(...)                                                   | Java13CommandLauncher()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/VmsCommandLauncher.java:37:14:37:31                                  |    0 |      |
| new StringBuilder(...)                                       | StringBuilder()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/VmsCommandLauncher.java:58:50:58:68                                  |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/util/DebugUtils.java:23:14:23:23                                              |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/util/MapUtils.java:27:14:27:21                                                |    0 |      |
| new HashMap<String,V>(...)                                   | HashMap<String,V>()                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/util/MapUtils.java:75:39:75:53                                                |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/util/StringUtils.java:32:14:32:24                                             |    0 |      |
| new StringBuilder(...)                                       | StringBuilder()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/util/StringUtils.java:88:35:88:53                                             |    0 |      |
| new ArrayList<String>(...)                                   | ArrayList<String>()                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/util/StringUtils.java:110:38:110:54                                           |    0 |      |
| new StringBuffer(...)                                        | StringBuffer()                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/util/StringUtils.java:142:37:142:54                                           |    0 |      |
| new StringBuilder(...)                                       | StringBuilder()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/util/StringUtils.java:162:47:162:65                                           |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/AbstractExecTest.java:22:23:22:38                                             |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                              |    0 |      |
| ...->...                                                     | ()                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:88:54:88:86                                              |    0 |      |
| new HashMap<String,Object>(...)                              | HashMap<String,Object>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:164:57:164:71                                            |    0 |      |
| new HashMap<String,String>(...)                              | HashMap<String,String>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:170:55:170:69                                            |    0 |      |
| new HashMap<String,Object>(...)                              | HashMap<String,Object>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:179:76:179:90                                            |    0 |      |
| new HashMap<String,String>(...)                              | HashMap<String,String>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:211:57:211:71                                            |    0 |      |
| new HashMap<String,String>(...)                              | HashMap<String,String>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:258:48:258:62                                            |    0 |      |
| new HashMap<String,String>(...)                              | HashMap<String,String>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:308:41:308:55                                            |    0 |      |
| ...->...                                                     | ()                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:333:54:333:96                                            |    0 |      |
| ...->...                                                     | ()                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:338:54:338:93                                            |    0 |      |
| ...->...                                                     | ()                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:343:50:343:100                                           |    0 |      |
| ...->...                                                     | ()                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:355:54:355:83                                            |    0 |      |
| ...->...                                                     | ()                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:360:54:360:83                                            |    0 |      |
| ...->...                                                     | ()                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:372:54:372:95                                            |    0 |      |
| new HashMap<String,String>(...)                              | HashMap<String,String>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:381:57:381:71                                            |    0 |      |
| new HashMap<String,String>(...)                              | HashMap<String,String>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:428:48:428:62                                            |    0 |      |
| super(...)                                                   | CommandLine_ESTest_scaffolding()                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLine_ESTest.java:20:14:20:31                                           |    0 |      |
| new HashMap<String,Object>(...)                              | HashMap<String,Object>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLine_ESTest.java:94:42:94:70                                           |    0 |      |
| new HashMap<String,Object>(...)                              | HashMap<String,Object>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLine_ESTest.java:108:42:108:70                                         |    0 |      |
| new HashMap<String,Object>(...)                              | HashMap<String,Object>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLine_ESTest.java:143:42:143:70                                         |    0 |      |
| new Object(...)                                              | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLine_ESTest.java:144:24:144:35                                         |    0 |      |
| new HashMap<String,Object>(...)                              | HashMap<String,Object>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLine_ESTest.java:233:42:233:70                                         |    0 |      |
| new HashMap<String,Argument>(...)                            | HashMap<String,Argument>()                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLine_ESTest.java:270:56:270:98                                         |    0 |      |
| new HashMap<String,Object>(...)                              | HashMap<String,Object>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLine_ESTest.java:278:42:278:70                                         |    0 |      |
| new HashMap<String,Object>(...)                              | HashMap<String,Object>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLine_ESTest.java:286:42:286:70                                         |    0 |      |
| new HashMap<String,Argument>(...)                            | HashMap<String,Argument>()                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLine_ESTest.java:317:56:317:98                                         |    0 |      |
| new HashMap<String,Object>(...)                              | HashMap<String,Object>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLine_ESTest.java:371:42:371:70                                         |    0 |      |
| new HashMap<String,Object>(...)                              | HashMap<String,Object>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLine_ESTest.java:400:42:400:70                                         |    0 |      |
| new HashMap<String,String>(...)                              | HashMap<String,String>()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLine_ESTest.java:451:42:451:70                                         |    0 |      |
| new NonFunctionalRequirementRule(...)                        | NonFunctionalRequirementRule()                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLine_ESTest_scaffolding.java:21:71:21:130                              |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLine_ESTest_scaffolding.java:18:14:18:43                               |    0 |      |
| super(...)                                                   | DefaultExecuteResultHandler_ESTest_scaffolding()      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:20:14:20:47                           |    0 |      |
| new DefaultExecuteResultHandler(...)                         | DefaultExecuteResultHandler()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:24:66:24:98                           |    0 |      |
| new DefaultExecuteResultHandler(...)                         | DefaultExecuteResultHandler()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:31:66:31:98                           |    0 |      |
| new DefaultExecuteResultHandler(...)                         | DefaultExecuteResultHandler()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:41:66:41:98                           |    0 |      |
| new DefaultExecuteResultHandler(...)                         | DefaultExecuteResultHandler()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:51:66:51:98                           |    0 |      |
| new DefaultExecuteResultHandler(...)                         | DefaultExecuteResultHandler()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:61:66:61:98                           |    0 |      |
| new DefaultExecuteResultHandler(...)                         | DefaultExecuteResultHandler()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:71:66:71:98                           |    0 |      |
| new DefaultExecuteResultHandler(...)                         | DefaultExecuteResultHandler()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:87:66:87:98                           |    0 |      |
| new DefaultExecuteResultHandler(...)                         | DefaultExecuteResultHandler()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:94:66:94:98                           |    0 |      |
| new DefaultExecuteResultHandler(...)                         | DefaultExecuteResultHandler()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:102:66:102:98                         |    0 |      |
| new DefaultExecuteResultHandler(...)                         | DefaultExecuteResultHandler()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:110:66:110:98                         |    0 |      |
| new DefaultExecuteResultHandler(...)                         | DefaultExecuteResultHandler()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:119:66:119:98                         |    0 |      |
| new DefaultExecuteResultHandler(...)                         | DefaultExecuteResultHandler()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:127:66:127:98                         |    0 |      |
| new DefaultExecuteResultHandler(...)                         | DefaultExecuteResultHandler()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:143:66:143:98                         |    0 |      |
| new DefaultExecuteResultHandler(...)                         | DefaultExecuteResultHandler()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:153:66:153:98                         |    0 |      |
| new DefaultExecuteResultHandler(...)                         | DefaultExecuteResultHandler()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:169:66:169:98                         |    0 |      |
| new DefaultExecuteResultHandler(...)                         | DefaultExecuteResultHandler()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:177:66:177:98                         |    0 |      |
| new DefaultExecuteResultHandler(...)                         | DefaultExecuteResultHandler()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:187:66:187:98                         |    0 |      |
| new NonFunctionalRequirementRule(...)                        | NonFunctionalRequirementRule()                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest_scaffolding.java:21:71:21:130              |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest_scaffolding.java:18:14:18:59               |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecutorTest.java:2:14:2:32                                            |    0 |      |
| super(...)                                                   | ExecuteException_ESTest_scaffolding()                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/ExecuteException_ESTest.java:17:14:17:36                                      |    0 |      |
| new MockThrowable(...)                                       | MockThrowable()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/ExecuteException_ESTest.java:21:38:21:56                                      |    0 |      |
| new NonFunctionalRequirementRule(...)                        | NonFunctionalRequirementRule()                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/ExecuteException_ESTest_scaffolding.java:21:71:21:130                         |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/ExecuteException_ESTest_scaffolding.java:18:14:18:48                          |    0 |      |
| super(...)                                                   | ExecuteWatchdog_ESTest_scaffolding()                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/ExecuteWatchdog_ESTest.java:25:14:25:35                                       |    0 |      |
| new ViolatedAssumptionAnswer(...)                            | ViolatedAssumptionAnswer()                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/ExecuteWatchdog_ESTest.java:33:64:33:93                                       |    0 |      |
| new ViolatedAssumptionAnswer(...)                            | ViolatedAssumptionAnswer()                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/ExecuteWatchdog_ESTest.java:43:49:43:78                                       |    0 |      |
| new MockException(...)                                       | MockException()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/ExecuteWatchdog_ESTest.java:46:38:46:56                                       |    0 |      |
