| MutableGraph                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/MutableGraph.java:28:18:28:29                                | addVertex                            | addVertex(V)                                           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/MutableGraph.java:50:10:50:18                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/MutableGraph.java:50:10:50:18                                |
| MutableGraph                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/MutableGraph.java:28:18:28:29                                | addEdge                              | addEdge(V, E, V)                                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/MutableGraph.java:40:10:40:16                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/MutableGraph.java:40:10:40:16                                |
| DirectedGraph                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/DirectedGraph.java:33:18:33:30                               | getOutDegree                         | getOutDegree(V)                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/DirectedGraph.java:65:9:65:20                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/DirectedGraph.java:65:9:65:20                                |
| DirectedGraph                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/DirectedGraph.java:33:18:33:30                               | getOutbound                          | getOutbound(V)                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/DirectedGraph.java:57:17:57:27                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/DirectedGraph.java:57:17:57:27                               |
| DirectedGraph                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/DirectedGraph.java:33:18:33:30                               | getInDegree                          | getInDegree(V)                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/DirectedGraph.java:49:9:49:19                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/DirectedGraph.java:49:9:49:19                                |
| DirectedGraph                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/DirectedGraph.java:33:18:33:30                               | getInbound                           | getInbound(V)                                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/DirectedGraph.java:41:17:41:26                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/DirectedGraph.java:41:17:41:26                               |
| LinkedConnectionBuilder           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/LinkedConnectionBuilder.java:31:18:31:40             | withConnections                      | withConnections(GraphConnection<V,E>)                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/LinkedConnectionBuilder.java:39:7:39:21              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/LinkedConnectionBuilder.java:39:7:39:21              |
| GraphConnection                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/GraphConnection.java:28:18:28:32                     | connect                              | connect(GraphConnector<V,E>)                           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/GraphConnection.java:35:10:35:16                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/GraphConnection.java:35:10:35:16                     |
| SpanningWeightedEdgeMapperBuilder | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/spanning/SpanningWeightedEdgeMapperBuilder.java:24:18:24:50  | whereEdgesHaveWeights                | whereEdgesHaveWeights(Mapper<WE,W>)                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/spanning/SpanningWeightedEdgeMapperBuilder.java:26:46:26:66  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/spanning/SpanningWeightedEdgeMapperBuilder.java:26:46:26:66  |
| SccAlgorithmSelector              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/scc/SccAlgorithmSelector.java:30:18:30:37                    | applyingTarjan                       | applyingTarjan()                                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/scc/SccAlgorithmSelector.java:68:17:68:30                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/scc/SccAlgorithmSelector.java:68:17:68:30                    |
| SccAlgorithmSelector              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/scc/SccAlgorithmSelector.java:30:18:30:37                    | applyingKosarajuSharir               | applyingKosarajuSharir(V)                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/scc/SccAlgorithmSelector.java:57:12:57:33                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/scc/SccAlgorithmSelector.java:57:12:57:33                    |
| SccAlgorithmSelector              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/scc/SccAlgorithmSelector.java:30:18:30:37                    | applyingKosarajuSharir               | applyingKosarajuSharir()                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/scc/SccAlgorithmSelector.java:48:17:48:38                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/scc/SccAlgorithmSelector.java:48:17:48:38                    |
| SccAlgorithmSelector              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/scc/SccAlgorithmSelector.java:30:18:30:37                    | applyingCheriyanMehlhornGabow        | applyingCheriyanMehlhornGabow()                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/scc/SccAlgorithmSelector.java:38:17:38:45                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/scc/SccAlgorithmSelector.java:38:17:38:45                    |
| PathWeightedEdgesBuilder          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/shortestpath/PathWeightedEdgesBuilder.java:24:18:24:41       | whereEdgesHaveWeights                | whereEdgesHaveWeights(M)                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/shortestpath/PathWeightedEdgesBuilder.java:26:63:26:83       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/shortestpath/PathWeightedEdgesBuilder.java:26:63:26:83       |
| FlowWeightedEdgesBuilder          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/flow/FlowWeightedEdgesBuilder.java:30:18:30:41               | whereEdgesHaveWeights                | whereEdgesHaveWeights(M)                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/flow/FlowWeightedEdgesBuilder.java:38:60:38:80               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/flow/FlowWeightedEdgesBuilder.java:38:60:38:80               |
