| new Random(...)                                                                    | Random()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/spanning/MinimumSpanningTreeBenchmarkTestCase.java:66:40:66:51   |    0 |      |
| super(...)                                                                         | AbstractGraphConnection()                                                   | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/spanning/MinimumSpanningTreeBenchmarkTestCase.java:64:29:65:83   |    0 |      |
| new ArrayList<BaseLabeledVertex>(...)                                              | ArrayList<BaseLabeledVertex>()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/spanning/MinimumSpanningTreeBenchmarkTestCase.java:84:41:84:74   |    0 |      |
| new DoubleWeightBaseOperations(...)                                                | DoubleWeightBaseOperations()                                                | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/spanning/MinimumSpanningTreeBenchmarkTestCase.java:112:51:112:82 |    0 |      |
| new DoubleWeightBaseOperations(...)                                                | DoubleWeightBaseOperations()                                                | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/spanning/MinimumSpanningTreeBenchmarkTestCase.java:123:51:123:82 |    0 |      |
| new DoubleWeightBaseOperations(...)                                                | DoubleWeightBaseOperations()                                                | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/spanning/MinimumSpanningTreeBenchmarkTestCase.java:134:48:134:79 |    0 |      |
| new DirectedMutableGraph<V,E>(...)                                                 | DirectedMutableGraph<V,E>()                                                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/CommonsGraph.java:189:25:189:56                                        |    0 |      |
| new UndirectedMutableGraph<V,E>(...)                                               | UndirectedMutableGraph<V,E>()                                               | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/CommonsGraph.java:203:25:203:58                                        |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/CommonsGraph.java:360:13:360:24                                        |    0 |      |
| super(...)                                                                         | RuntimeException()                                                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/GraphException.java:31:9:31:16                                         |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/SynchronizedGraph.java:38:12:38:28                                     |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/VertexPair.java:50:12:50:21                                            |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/builder/AbstractGraphConnection.java:30:23:30:45                       |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/builder/DefaultGrapher.java:30:12:30:25                                |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/builder/DefaultHeadVertexConnector.java:32:12:32:37                    |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/builder/DefaultLinkedConnectionBuilder.java:43:12:43:41                |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/builder/DefaultTailVertexConnector.java:34:12:34:37                    |    0 |      |
| new HashMap<E,DisjointSetNode<E>>(...)                                             | HashMap<E,DisjointSetNode<E>>()                                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/collections/DisjointSet.java:34:61:34:96                               |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/collections/DisjointSet.java:31:20:31:30                               |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/collections/DisjointSetNode.java:43:12:43:26                           |    0 |      |
| new HashSet<E>(...)                                                                | HashSet<E>()                                                                | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/collections/FibonacciHeap.java:56:42:56:57                             |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/collections/FibonacciHeap.java:87:12:87:24                             |    0 |      |
| new NoSuchElementException(...)                                                    | NoSuchElementException()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/collections/FibonacciHeap.java:324:19:324:46                           |    0 |      |
| new UnsupportedOperationException(...)                                             | UnsupportedOperationException()                                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/collections/FibonacciHeap.java:336:15:336:49                           |    0 |      |
| new NoSuchElementException(...)                                                    | NoSuchElementException()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/collections/FibonacciHeap.java:486:19:486:46                           |    0 |      |
| new UnsupportedOperationException(...)                                             | UnsupportedOperationException()                                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/collections/FibonacciHeap.java:498:15:498:49                           |    0 |      |
| new UnsupportedOperationException(...)                                             | UnsupportedOperationException()                                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/collections/FibonacciHeap.java:503:15:503:49                           |    0 |      |
| new UnsupportedOperationException(...)                                             | UnsupportedOperationException()                                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/collections/FibonacciHeap.java:508:15:508:49                           |    0 |      |
