| EdgeWrapper                                                                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/main/java/org/apache/commons/graph/flow/DefaultMaxFlowAlgorithmSelector.java:42:32:42:42                | DefaultMaxFlowAlgorithmSelector      |
| MapperWrapper                                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/main/java/org/apache/commons/graph/flow/DefaultMaxFlowAlgorithmSelector.java:60:32:60:44                | DefaultMaxFlowAlgorithmSelector      |
| GraphInsert                                                                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/test/java/org/apache/commons/graph/model/BaseMutableGraphTestCase.java:44:25:44:35                      | BaseMutableGraphTestCase             |
| new AbstractGraphConnection<BaseLabeledVertex,BaseLabeledEdge>(...) { ... }                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:52:29:52:87             | SCCAlgorithmBenchmarkTestCase        |
| new AbstractGraphConnection<BaseLabeledVertex,BaseLabeledEdge>(...) { ... }                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/test/java/org/apache/commons/graph/coloring/GraphColoringBackTrackingTestCase.java:67:29:67:87          | GraphColoringBackTrackingTestCase    |
| new AbstractGraphConnection<BaseLabeledVertex,BaseLabeledEdge>(...) { ... }                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/test/java/org/apache/commons/graph/coloring/GraphColoringBackTrackingTestCase.java:154:29:154:87        | GraphColoringBackTrackingTestCase    |
| new AbstractGraphConnection<BaseLabeledVertex,BaseLabeledEdge>(...) { ... }                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/test/java/org/apache/commons/graph/coloring/GraphColoringTestCase.java:62:29:62:87                      | GraphColoringTestCase                |
| new AbstractGraphConnection<BaseLabeledVertex,BaseLabeledEdge>(...) { ... }                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/test/java/org/apache/commons/graph/connectivity/FindConnectedComponetTestCase.java:48:29:48:87          | FindConnectedComponetTestCase        |
| new AbstractGraphConnection<BaseLabeledVertex,BaseLabeledEdge>(...) { ... }                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/test/java/org/apache/commons/graph/connectivity/FindConnectedComponetTestCase.java:78:29:78:87          | FindConnectedComponetTestCase        |
| new AbstractGraphConnection<BaseLabeledVertex,BaseLabeledEdge>(...) { ... }                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/test/java/org/apache/commons/graph/coloring/GraphColoringTestCase.java:135:29:135:87                    | GraphColoringTestCase                |
| new AbstractGraphConnection<BaseLabeledVertex,BaseLabeledEdge>(...) { ... }                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/test/java/org/apache/commons/graph/connectivity/FindConnectedComponetTestCase.java:116:29:116:87        | FindConnectedComponetTestCase        |
| new AbstractGraphConnection<BaseLabeledVertex,BaseLabeledEdge>(...) { ... }                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/test/java/org/apache/commons/graph/connectivity/FindConnectedComponetTestCase.java:145:29:145:87        | FindConnectedComponetTestCase        |
| new AbstractGraphConnection<BaseLabeledVertex,BaseLabeledEdge>(...) { ... }                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/test/java/org/apache/commons/graph/connectivity/FindConnectedComponetTestCase.java:184:29:184:87        | FindConnectedComponetTestCase        |
| new AbstractGraphConnection<BaseLabeledVertex,BaseLabeledEdge>(...) { ... }                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/test/java/org/apache/commons/graph/connectivity/FindConnectedComponetTestCase.java:225:29:225:87        | FindConnectedComponetTestCase        |
| new AbstractGraphConnection<BaseLabeledVertex,BaseLabeledEdge>(...) { ... }                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/test/java/org/apache/commons/graph/model/GraphSerializationTestCase.java:52:20:52:78                    | GraphSerializationTestCase           |
| new AbstractGraphConnection<BaseLabeledVertex,BaseLabeledEdge>(...) { ... }                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/test/java/org/apache/commons/graph/scc/CheriyanMehlhornGabowTestCase.java:98:29:98:87                   | CheriyanMehlhornGabowTestCase        |
