joda-convert.src.main.org.joda.convert.Types_python_partial.json, Types, 569-577:filterUpperBounds, error, 8
joda-convert.src.main.org.joda.convert.Types_python_partial.json, Types, 565-567:toArray, error, 3
joda-convert.src.main.org.joda.convert.Types_python_partial.json, Types, 388-395:newProxy, error, 8
joda-convert.src.main.org.joda.convert.Types_python_partial.json, Types, 378-386:newTypeVariableImpl, error, 6
joda-convert.src.main.org.joda.convert.Types_python_partial.json, Types, 255-269:subtypeOfComponentType, error, 11
joda-convert.src.main.org.joda.convert.TypedStringConverter_python_partial.json, TypedStringConverter, 39-39:getEffectiveType, error, 2
joda-convert.src.main.org.joda.convert.StringConverterFactory_python_partial.json, StringConverterFactory, 35-35:findConverter, error, 2
joda-convert.src.main.org.joda.convert.TypeUtils_python_partial.json, TypeUtils, 65-73:parse, error, 8
joda-convert.src.main.org.joda.convert.TypeUtils_python_partial.json, TypeUtils, 142-145:newParameterizedType, error, 4
joda-convert.src.main.org.joda.convert.TypeUtils_python_partial.json, TypeUtils, 138-140:wildSuperType, error, 4
joda-convert.src.main.org.joda.convert.TypeUtils_python_partial.json, TypeUtils, 134-136:wildExtendsType, error, 4
joda-convert.src.main.org.joda.convert.TypeUtils_python_partial.json, TypeUtils, 116-132:split, error, 18
joda-convert.src.main.org.joda.convert.TypeUtils_python_partial.json, TypeUtils, 75-114:doParse, error, 36
joda-convert.src.main.org.joda.convert.TypeUtils_python_partial.json, TypeUtils, 57-57:TypeUtils, error, 12
joda-convert.src.main.org.joda.convert.ReflectionStringConverter_python_partial.json, ReflectionStringConverter, 89-91:toString, error, 2
joda-convert.src.main.org.joda.convert.ReflectionStringConverter_python_partial.json, ReflectionStringConverter, 84-86:getEffectiveType, error, 2
joda-convert.src.main.org.joda.convert.ReflectionStringConverter_python_partial.json, ReflectionStringConverter, 79-81:convertFromString, error, 2
joda-convert.src.main.org.joda.convert.ReflectionStringConverter_python_partial.json, ReflectionStringConverter, 65-76:convertToString, error, 6
joda-convert.src.main.org.joda.convert.ReflectionStringConverter_python_partial.json, ReflectionStringConverter, 51-62:ReflectionStringConverter, error, 9
joda-convert.src.main.org.joda.convert.MethodFromStringConverter_python_partial.json, MethodFromStringConverter, 84-86:getEffectiveType, error, 2
joda-convert.src.main.org.joda.convert.MethodFromStringConverter_python_partial.json, MethodFromStringConverter, 70-81:convertFromString, error, 6
joda-convert.src.main.org.joda.convert.MethodFromStringConverter_python_partial.json, MethodFromStringConverter, 47-67:MethodFromStringConverter, error, 1
joda-convert.src.main.org.joda.convert.FromStringFactory_python_partial.json, FromStringFactory, 46-46:factory, error, 2
joda-convert.src.main.org.joda.convert.ConstructorFromStringConverter_python_partial.json, ConstructorFromStringConverter, 75-77:getEffectiveType, error, 2
joda-convert.src.main.org.joda.convert.ConstructorFromStringConverter_python_partial.json, ConstructorFromStringConverter, 59-72:convertFromString, error, 6
joda-convert.src.main.org.joda.convert.ConstructorFromStringConverter_python_partial.json, ConstructorFromStringConverter, 43-56:ConstructorFromStringConverter, error, 12
joda-convert.src.main.org.joda.convert.factory.NumericObjectArrayStringConverterFactory_python_partial.json, NumericObjectArrayStringConverterFactory, 73-75:toString, error, 2
joda-convert.src.main.org.joda.convert.factory.NumericObjectArrayStringConverterFactory_python_partial.json, NumericObjectArrayStringConverterFactory, 51-70:findConverter, error, 18
joda-convert.src.main.org.joda.convert.factory.NumericObjectArrayStringConverterFactory_python_partial.json, NumericObjectArrayStringConverterFactory, 41-41:NumericObjectArrayStringConverterFactory, error, 3
joda-convert.src.main.org.joda.convert.factory.NumericArrayStringConverterFactory_python_partial.json, NumericArrayStringConverterFactory, 72-74:toString, error, 2
joda-convert.src.main.org.joda.convert.factory.NumericArrayStringConverterFactory_python_partial.json, NumericArrayStringConverterFactory, 50-69:findConverter, error, 14
joda-convert.src.main.org.joda.convert.factory.NumericArrayStringConverterFactory_python_partial.json, NumericArrayStringConverterFactory, 40-40:NumericArrayStringConverterFactory, error, 3
joda-convert.src.main.org.joda.convert.factory.CharObjectArrayStringConverterFactory_python_partial.json, CharObjectArrayStringConverterFactory, 61-63:toString, error, 2
joda-convert.src.main.org.joda.convert.factory.CharObjectArrayStringConverterFactory_python_partial.json, CharObjectArrayStringConverterFactory, 53-58:findConverter, error, 5
joda-convert.src.main.org.joda.convert.factory.CharObjectArrayStringConverterFactory_python_partial.json, CharObjectArrayStringConverterFactory, 43-43:CharObjectArrayStringConverterFactory, error, 2
joda-convert.src.main.org.joda.convert.factory.ByteObjectArrayStringConverterFactory_python_partial.json, ByteObjectArrayStringConverterFactory, 59-61:toString, error, 2
joda-convert.src.main.org.joda.convert.factory.ByteObjectArrayStringConverterFactory_python_partial.json, ByteObjectArrayStringConverterFactory, 51-56:findConverter, error, 5
joda-convert.src.main.org.joda.convert.factory.ByteObjectArrayStringConverterFactory_python_partial.json, ByteObjectArrayStringConverterFactory, 41-41:ByteObjectArrayStringConverterFactory, error, 2
joda-convert.src.main.org.joda.convert.factory.BooleanObjectArrayStringConverterFactory_python_partial.json, BooleanObjectArrayStringConverterFactory, 59-61:toString, error, 2
joda-convert.src.main.org.joda.convert.factory.BooleanObjectArrayStringConverterFactory_python_partial.json, BooleanObjectArrayStringConverterFactory, 51-56:findConverter, error, 5
joda-convert.src.main.org.joda.convert.factory.BooleanObjectArrayStringConverterFactory_python_partial.json, BooleanObjectArrayStringConverterFactory, 41-41:BooleanObjectArrayStringConverterFactory, error, 2
joda-convert.src.main.org.joda.convert.factory.BooleanArrayStringConverterFactory_python_partial.json, BooleanArrayStringConverterFactory, 58-60:toString, error, 2
joda-convert.src.main.org.joda.convert.factory.BooleanArrayStringConverterFactory_python_partial.json, BooleanArrayStringConverterFactory, 50-55:findConverter, error, 5
joda-convert.src.main.org.joda.convert.factory.BooleanArrayStringConverterFactory_python_partial.json, BooleanArrayStringConverterFactory, 40-40:BooleanArrayStringConverterFactory, error, 2
