jansi.src.main.org.fusesource.jansi.AnsiType_python_partial.json, AnsiType, 36-38:getDescription, success, 2
jansi.src.main.org.fusesource.jansi.AnsiMode_python_partial.json, AnsiMode, 30-32:AnsiMode, success, 2
jansi.src.main.org.fusesource.jansi.AnsiMode_python_partial.json, AnsiMode, 34-36:getDescription, success, 2
jansi.src.main.org.fusesource.jansi.internal.MingwSupport_python_partial.json, MingwSupport, 88-103:getTerminalWidth, error, 13
jansi.src.main.org.fusesource.jansi.internal.MingwSupport_python_partial.json, MingwSupport, 69-86:getConsoleName, error, 19
jansi.src.main.org.fusesource.jansi.internal.MingwSupport_python_partial.json, MingwSupport, 40-67:MingwSupport, error, 25
jansi.src.main.org.fusesource.jansi.internal.MingwSupport_python_partial.json, MingwSupport, 124-136:getRedirect, error, 7
jansi.src.main.org.fusesource.jansi.internal.MingwSupport_python_partial.json, MingwSupport, 105-119:waitAndCapture, error, 15
jansi.src.main.org.fusesource.jansi.AnsiConsole_python_partial.json, AnsiConsole, 564-570:initStreams, error, 7
jansi.src.main.org.fusesource.jansi.AnsiConsole_python_partial.json, AnsiConsole, 546-559:systemUninstall, error, 12
jansi.src.main.org.fusesource.jansi.AnsiConsole_python_partial.json, AnsiConsole, 537-539:isInstalled, success, 3
jansi.src.main.org.fusesource.jansi.AnsiConsole_python_partial.json, AnsiConsole, 519-532:systemInstall, error, 13
jansi.src.main.org.fusesource.jansi.AnsiConsole_python_partial.json, AnsiConsole, 510-512:sysErr, success, 3
jansi.src.main.org.fusesource.jansi.AnsiConsole_python_partial.json, AnsiConsole, 500-503:err, error, 5
jansi.src.main.org.fusesource.jansi.AnsiConsole_python_partial.json, AnsiConsole, 488-490:sysOut, success, 3
jansi.src.main.org.fusesource.jansi.AnsiConsole_python_partial.json, AnsiConsole, 478-481:out, error, 5
jansi.src.main.org.fusesource.jansi.AnsiConsole_python_partial.json, AnsiConsole, 460-468:getBoolean, error, 10
jansi.src.main.org.fusesource.jansi.AnsiConsole_python_partial.json, AnsiConsole, 198-204:getTerminalWidth, success, 8
jansi.src.main.org.fusesource.jansi.AnsiConsole_python_partial.json, AnsiConsole, 446-458:newPrintStream, error, 15
jansi.src.main.org.fusesource.jansi.AnsiConsole_python_partial.json, AnsiConsole, 237-444:ansiStream, error, 1
jansi.src.main.org.fusesource.jansi.AnsiConsole_python_partial.json, AnsiConsole, 231-235:AnsiConsole, success, 2
